Country or Territory Name,Continent,ISOAlpha,ISO Numeric,Highest Admin Level Used,Number of Units,Population Year,Population Source Type,Population Estimate/Projection Type,Population Admin Level Used,Sex Variable  Year ,Sex Variable Type,Sex Variable Estimate/Projection Type,Sex Variable Admin Level Used,Age Variable Year,Age Variable Type,Age Variable Estimate/Projection Type,Age Variable Admin Level Used,Growth Rate Start Year,Growth Rate End Year,Growth Rate Level
Palau,Oceania,PLW,585,1,16,2005,Final Census,not applicable,1,2005,Final Census,not applicable,1,2005,Final Census,not applicable,1,2000,2005,1
Papua New Guinea,Oceania,PNG,598,2,87,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,0,2000,2011,2
Poland,Europe,POL,616,4,2500,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2002,2011,3; 4
Puerto Rico,Americas-North America,PRI,630,4,76112,2010,Final Census,not applicable,4,2010,Final Census,not applicable,4,2010,Final Census,not applicable,4,2000,2010,2
Democratic People's Republic of Korea,Asia,PRK,408,2,181,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,1,2001,2008,1
Portugal,Europe,PRT,620,6,265953,2011,Final Census,not applicable,6,2011,Final Census,not applicable,6,2011,Final Census,not applicable,5,2001,2011,4
Paraguay,Americas-South America,PRY,600,2,250,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2010,Population Estimate/Projection,Official Projection from National Statistics Office,2,2002,2010,2
State of Palestine,Asia,PSE,275,2,6,2007,Preliminary/Provisional Census,(Semi-final for Gaza; final for West Bank; and integrated census for Judea and Samaria),2,2007,Preliminary/Provisional Census,(Semi-final for Gaza; final for West Bank; and integrated census for Judea and Samaria),2,2007,Preliminary/Provisional Census,(Semi-final for Gaza; final for West Bank; and integrated census for Judea and Samaria),2,1997,2007,1; 2
French Polynesia,Oceania,PYF,258,3,116,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2007,Final Census,not applicable,3,2002,2007,3
Qatar,Asia,QAT,634,2,90,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,0,2004,2010,2
Réunion,Africa,REU,638,2,24,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,2009,Population Register,not applicable,2,1999,2009,2
Romania,Europe,ROU,642,4,3159,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2011,Final Census,not applicable,4,2002,2011,3
Russian Federation,Europe,RUS,643,3,2532,2010,Final Census,not applicable,2;3,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2002,2010,1
Rwanda,Africa,RWA,646,3,439,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2002,2012,3
Saudi Arabia,Asia,SAU,682,2,118,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,1,2004,2010,1
Sudan,Africa,SDN,729,2,130,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,0,1993,2008,1
Senegal,Africa,SEN,686,2,45,2013,Final Census,not applicable,2,2013,Final Census,not applicable,2,2013,Final Census,not applicable,0,2002,2013,0
Singapore,Asia,SGP,702,2,55,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,1; 2
Saint Helena,Africa,SHN,654,2,13,2008; 2014,Final Census and Population Register,not applicable,2,2008; 2014,Final Census and Population Register,not applicable,2,2008; 2014,Final Census and Population Register,not applicable,2,1998; 2008,2008; 2014,1
Svalbard and Jan Mayen Islands,Europe,SJM,744,0,1,2010,Population Register,not applicable,0,2010,Population Register,not applicable,0,2010,Population Register,not applicable,0,2010,2013,0
Solomon Islands,Oceania,SLB,90,4,1344,2009,Final Census,not applicable,4,2009,Final Census,not applicable,4,2009,Final Census,not applicable,4,1999,2009,1
Sierra Leone,Africa,SLE,694,3,160,2004,Final Census,not applicable,3,2004,Final Census,not applicable,3,2004,Final Census,not applicable,1,1985,2004,2
El Salvador,Americas-North America,SLV,222,2,262,2007,Final Census,not applicable,2,2007,Final Census,not applicable,2,2007,Final Census,not applicable,2,1992,2007,2
San Marino,Europe,SMR,674,1,9,2010,Preliminary/Provisional Census,Official Figures from National Statistics Office,1,2010,Preliminary/Provisional Census,Official Figures from National Statistics Office,1,2012,Official Statistics,Official Figures from National Statistics Office,0,2000,2010,1
Somalia,Africa,SOM,706,3,74,2005,Population Estimate/Projection,UNDP estimates,3,2010,Population Estimate/Projection,UNDP estimates,0,2010,Population Estimate/Projection,UN estimates,0,2005,2012,0
Saint Pierre and Miquelon,Americas-North America,SPM,666,1,2,2009,Final Census,not applicable,1,2009,Final Census,not applicable,1,2009,Final Census,not applicable,1,1999,2009,1
Serbia,Europe,SRB,688,5,4721,2011,Final Census,not applicable,5,2011,Final Census,not applicable,5,2011,Final Census,not applicable,5,2002,2011,3
South Sudan,Africa,SSD,728,2,78,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,1983,2008,1
Sao Tome and Principe,Africa,STP,678,2,7,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2001,2012,2
Suriname,Americas-South America,SUR,740,2,62,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2004,2012,2
Slovakia,Europe,SVK,703,3,2927,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2001,2011,3
Slovenia,Europe,SVN,705,3,6030,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2008,2010,2
Sweden,Europe,SWE,752,3,1460,2010,Population Register,not applicable,3,2010,Population Register,not applicable,3,2010,Population Register,not applicable,2,2005,2010,2
Swaziland,Africa,SWZ,748,2,55,2007,Final Census,not applicable,2,2007,Final Census,not applicable,2,2007,Final Census,not applicable,1,1997,2007,1
Sint Maarten (Dutch part),Americas-North America,SXM,534,1,8,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2001,2011,1
Seychelles,Africa,SYC,690,2,26,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2002,2010,2
Syrian Arab Republic,Asia,SYR,760,3,267,2004,Final Census,not applicable,3,2004,Final Census,not applicable,3,2010,Population Estimate/Projection,UN estimates,0,2004,2011,1
Turks and Caicos Islands,Americas-North America,TCA,796,2,34,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,0,2001,2012,2
Chad,Africa,TCD,148,2,62,2009,Final Census,not applicable,2,2009,Final Census,not applicable,2,2009,Final Census,not applicable,1,1993,2009,1
Togo,Africa,TGO,768,2,40,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,2
Thailand,Asia,THA,764,2,927,2010,Preliminary/Provisional Census,not applicable,2,2010,Preliminary/Provisional Census,not applicable,1,2010,Preliminary/Provisional Census,not applicable,1,2000,2010,1
Tajikistan,Asia,TJK,762,2,74,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,1,2000,2010,2
Tokelau,Oceania,TKL,772,1,3,2011,Final Census,not applicable,1,2011,Final Census,not applicable,0,2011,Final Census,not applicable,0,2006,2011,0
Turkmenistan,Asia,TKM,795,1,6,2005,Population Estimate/Projection,Official Projection from National Statistics Office,1,2010,Population Estimate/Projection,UN estimates,0,2010,Population Estimate/Projection,UN estimates,0,1995,2005,1
Timor-Leste,Asia,TLS,626,3,442,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2004,2010,3
Tonga,Oceania,TON,776,1,5,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2006,2011,1
Trinidad and Tobago,Americas-North America,TTO,780,1,21,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2011,Final Census,not applicable,1,2000,2011,1
Tunisia,Africa,TUN,788,2,264,2014,Final Census,not applicable,2,2014,Final Census,not applicable,2,2014,Final Census,not applicable,1,2004,2014,2
Turkey,Asia,TUR,792,2,957,2010,Population Register,not applicable,2,2010,Population Register,not applicable,2,2010,Population Register,not applicable,2,2000,2010,1; 2
Tuvalu,Oceania,TUV,798,3,70,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2002,2012,1
Taiwan,Asia,TWN,158,2,369,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,1,2000,2010,1
United Republic of Tanzania,Africa,TZA,834,3,3643,2012,Final Census,not applicable,3,2012,Final Census,not applicable,3,2012,Final Census,not applicable,2,2002,2012,1; 2
Uganda,Africa,UGA,800,3,1377,2014,Preliminary/Provisional Census,not applicable,3,2014,Preliminary/Provisional Census,not applicable,3,2014,Preliminary/Provisional Census,not applicable,0,2002,2014,1
Ukraine,Europe,UKR,804,2,636,2013,Population Estimate/Projection,Official Projection from National Statistics Office,2,2013,Population Estimate/Projection,Official Projection from National Statistics Office,2,2013,Population Estimate/Projection,Official Projection from National Statistics Office,1,2001,2013,2
Uruguay,Americas-South America,URY,858,3,4318,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2011,Final Census,not applicable,3,2004,2011,2
United States of America,Americas-North America,USA,840,5,10535212,2010,Final Census,not applicable,5,2010,Final Census,not applicable,5,2010,Final Census,not applicable,5,2000,2010,2
Uzbekistan,Asia,UZB,860,1,14,2013,Population Register,not applicable,1,2013,Population Register,not applicable,1,2013,Population Register,not applicable,0,2003,2013,1
Holy See,Europe,VAT,336,0,1,2013,Population Estimate/Projection,CIA estimates,0,2013,Population Estimate/Projection,CIA estimates,N/A,2013,Population Estimate/Projection,CIA estimates,N/A,2012,2013,0
Saint Vincent and the Grenadines,Americas-North America,VCT,670,1,13,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2012,Final Census,not applicable,1,2001,2012,1
Venezuela (Bolivarian Republic of),Americas-South America,VEN,862,2,337,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,2
British Virgin Islands,Americas-North America,VGB,92,1,5,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,2010,Final Census,not applicable,1,1991,2001,1
United States Virgin Islands,Americas-North America,VIR,850,2,20,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2010,Final Census,not applicable,2,2000,2010,2
Viet Nam,Asia,VNM,704,3,688,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,1999,2009,2
Vanuatu,Oceania,VUT,548,3,621,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,2009,Final Census,not applicable,3,1999,2009,1
Wallis and Futuna Islands,Oceania,WLF,876,2,5,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2008,Final Census,not applicable,2,2003,2008,2
Western Samoa,Oceania,WSM,882,2,43,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2011,Final Census,not applicable,2,2001,2011,2
Yemen,Asia,YEM,887,2,333,2004,Final Census,not applicable,2,2004,Final Census,not applicable,2,2004,Final Census,not applicable,2,2004,2012,1
South Africa,Africa,ZAF,710,6,86983,2011,Final Census,not applicable,6,2011,Final Census,not applicable,6,2011,Final Census,not applicable,6,2001,2011,3
Zambia,Africa,ZMB,894,3,150,2010,Final Census,not applicable,3,2010,Final Census,not applicable,3,2010,Final Census,not applicable,2,2000,2010,0;3
Zimbabwe,Africa,ZWE,716,2,91,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2012,Final Census,not applicable,2,2002,2012,1
